Iteration 108, D_loss = 0.0002,G_loss = 18.2144,train acc = 0.8241, train f1 = 0.0258, test acc = 0.8403, test f1 = 0.0249, best acc = 0.8819, best f1 = 0.0249, lr = 0.00020000 
Iteration 109, D_loss = 0.0141,G_loss = 18.8344,train acc = 0.8315, train f1 = 0.0258, test acc = 0.8333, test f1 = 0.0247, best acc = 0.8819, best f1 = 0.0249, lr = 0.00020000 
Iteration 110, D_loss = 0.0003,G_loss = 17.7323,train acc = 0.8284, train f1 = 0.0256, test acc = 0.8333, test f1 = 0.0245, best acc = 0.8819, best f1 = 0.0249, lr = 0.00020000 
Iteration 111, D_loss = 0.0001,G_loss = 18.2387,train acc = 0.8223, train f1 = 0.0254, test acc = 0.8542, test f1 = 0.0243, best acc = 0.8819, best f1 = 0.0249, lr = 0.00020000 
Iteration 112, D_loss = 0.0001,G_loss = 18.4673,train acc = 0.8248, train f1 = 0.0252, test acc = 0.8264, test f1 = 0.0245, best acc = 0.8819, best f1 = 0.0249, lr = 0.00020000 
Iteration 113, D_loss = 0.0001,G_loss = 18.6239,train acc = 0.8248, train f1 = 0.0250, test acc = 0.8438, test f1 = 0.0244, best acc = 0.8819, best f1 = 0.0249, lr = 0.00020000 
Iteration 114, D_loss = 0.0001,G_loss = 18.7972,train acc = 0.8254, train f1 = 0.0249, test acc = 0.8368, test f1 = 0.0243, best acc = 0.8819, best f1 = 0.0249, lr = 0.00020000 
Iteration 115, D_loss = 0.0007,G_loss = 18.8650,train acc = 0.8199, train f1 = 0.0248, test acc = 0.8125, test f1 = 0.0241, best acc = 0.8819, best f1 = 0.0249, lr = 0.00020000 
Iteration 116, D_loss = 0.0001,G_loss = 18.2747,train acc = 0.8260, train f1 = 0.0246, test acc = 0.8299, test f1 = 0.0239, best acc = 0.8819, best f1 = 0.0249, lr = 0.00020000 
Iteration 117, D_loss = 0.0001,G_loss = 18.6600,train acc = 0.8241, train f1 = 0.0244, test acc = 0.8299, test f1 = 0.0240, best acc = 0.8819, best f1 = 0.0249, lr = 0.00020000 
Iteration 118, D_loss = 0.0001,G_loss = 18.9882,train acc = 0.8260, train f1 = 0.0243, test acc = 0.8229, test f1 = 0.0238, best acc = 0.8819, best f1 = 0.0249, lr = 0.00020000 
Iteration 119, D_loss = 0.0001,G_loss = 19.2095,train acc = 0.8229, train f1 = 0.0241, test acc = 0.8299, test f1 = 0.0237, best acc = 0.8819, best f1 = 0.0249, lr = 0.00020000 
Iteration 120, D_loss = 0.0001,G_loss = 19.2053,train acc = 0.8248, train f1 = 0.0239, test acc = 0.8438, test f1 = 0.0235, best acc = 0.8819, best f1 = 0.0249, lr = 0.00020000 
Iteration 121, D_loss = 0.0006,G_loss = 16.4065,train acc = 0.8260, train f1 = 0.0237, test acc = 0.8333, test f1 = 0.0234, best acc = 0.8819, best f1 = 0.0249, lr = 0.00020000 
Iteration 122, D_loss = 0.0001,G_loss = 17.3403,train acc = 0.8254, train f1 = 0.0236, test acc = 0.8299, test f1 = 0.0233, best acc = 0.8819, best f1 = 0.0249, lr = 0.00020000 
Iteration 123, D_loss = 0.0001,G_loss = 18.0594,train acc = 0.8235, train f1 = 0.0235, test acc = 0.8368, test f1 = 0.0231, best acc = 0.8819, best f1 = 0.0249, lr = 0.00020000 
Iteration 124, D_loss = 0.0001,G_loss = 18.4733,train acc = 0.8223, train f1 = 0.0233, test acc = 0.8299, test f1 = 0.0229, best acc = 0.8819, best f1 = 0.0249, lr = 0.00020000 
Iteration 125, D_loss = 0.0001,G_loss = 18.7781,train acc = 0.8297, train f1 = 0.0231, test acc = 0.8333, test f1 = 0.0228, best acc = 0.8819, best f1 = 0.0249, lr = 0.00020000 
Iteration 126, D_loss = 0.0001,G_loss = 19.0640,train acc = 0.8229, train f1 = 0.0230, test acc = 0.8333, test f1 = 0.0227, best acc = 0.8819, best f1 = 0.0249, lr = 0.00020000 
Iteration 127, D_loss = 0.0000,G_loss = 19.1926,train acc = 0.8260, train f1 = 0.0228, test acc = 0.8333, test f1 = 0.0225, best acc = 0.8819, best f1 = 0.0249, lr = 0.00020000 
Iteration 128, D_loss = 0.0000,G_loss = 19.4733,train acc = 0.8229, train f1 = 0.0227, test acc = 0.8438, test f1 = 0.0225, best acc = 0.8819, best f1 = 0.0249, lr = 0.00020000 
Iteration 129, D_loss = 0.0000,G_loss = 19.6195,train acc = 0.8199, train f1 = 0.0226, test acc = 0.8403, test f1 = 0.0223, best acc = 0.8819, best f1 = 0.0249, lr = 0.00020000 
Iteration 130, D_loss = 0.0012,G_loss = 19.1045,train acc = 0.8241, train f1 = 0.0224, test acc = 0.8229, test f1 = 0.0222, best acc = 0.8819, best f1 = 0.0249, lr = 0.00020000 
Iteration 131, D_loss = 0.0000,G_loss = 20.4515,train acc = 0.8217, train f1 = 0.0222, test acc = 0.8333, test f1 = 0.0220, best acc = 0.8819, best f1 = 0.0249, lr = 0.00020000 
Iteration 132, D_loss = 0.0000,G_loss = 21.0737,train acc = 0.8217, train f1 = 0.0221, test acc = 0.8333, test f1 = 0.0218, best acc = 0.8819, best f1 = 0.0249, lr = 0.00020000 
Iteration 133, D_loss = 0.0000,G_loss = 21.2990,train acc = 0.8241, train f1 = 0.0219, test acc = 0.8333, test f1 = 0.0217, best acc = 0.8819, best f1 = 0.0249, lr = 0.00020000 
Iteration 134, D_loss = 0.0000,G_loss = 21.6588,train acc = 0.8186, train f1 = 0.0218, test acc = 0.8333, test f1 = 0.0215, best acc = 0.8819, best f1 = 0.0249, lr = 0.00020000 
